student_id,name,department,semester,cgpa,tenth_percentage,twelfth_percentage,backlogs,python_score,java_score,sql_score,dsa_score,cloud_score,web_score,ml_score,cybersecurity_score,certifications,project_count,project_complexity,internships,opensource_projects,quantitative_aptitude,logical_aptitude,coding_score,communication_score,presentation_score,interview_score,hackathons,leadership,target_role,placed,data_source,profile_completeness,evidence_confidence
ST00001,Student ST00001,CSE,7,7.9,78.6,81.3,0,6.5,6.2,8.8,7.7,4.1,6.5,3.6,3.2,1,2,2,0,0,5.8,4.5,6.8,7.0,9.0,7.4,0,1,Cybersecurity Specialist,1,SYNTHETIC,89.6,66.0
ST00002,Student ST00002,Mechanical,7,6.8,68.6,67.3,0,5.6,6.0,6.2,6.7,2.6,6.8,8.1,5.3,0,6,2,0,0,4.9,4.5,6.8,5.4,4.1,5.2,0,0,Data Analyst,1,SYNTHETIC,78.4,88.1
ST00003,Student ST00003,CSE,7,6.72,71.6,73.3,0,5.2,4.4,3.8,6.9,3.5,4.2,5.2,1.7,2,2,2,0,1,3.1,6.8,6.3,5.8,5.7,4.4,1,0,QA Specialist,0,SYNTHETIC,84.8,86.4
ST00004,Student ST00004,Mechanical,7,6.59,66.0,71.7,0,4.2,5.3,5.2,6.1,2.4,3.8,2.4,1.0,2,2,1,0,0,5.8,6.4,6.7,6.4,6.4,5.6,1,0,Full-Stack Developer,1,SYNTHETIC,86.9,70.5
ST00005,Student ST00005,CSE,7,7.46,85.3,74.4,0,5.4,3.7,7.0,6.4,4.9,3.6,5.5,1.0,2,2,2,0,0,4.7,6.4,5.3,6.9,5.7,7.5,1,0,AI/ML Engineer,1,SYNTHETIC,83.2,64.0
ST00006,Student ST00006,ISE,8,8.21,76.9,82.3,0,4.9,6.8,7.3,7.8,3.1,4.2,5.1,4.4,3,3,2,0,0,8.7,7.2,5.8,7.1,5.9,7.3,0,1,Full-Stack Developer,1,SYNTHETIC,92.9,82.7
ST00007,Student ST00007,CSE,7,7.82,82.3,74.7,0,3.9,4.4,6.8,5.2,5.6,5.6,7.6,3.3,1,2,1,1,3,7.0,6.5,4.1,4.1,3.7,5.0,0,0,Cloud/DevOps Engineer,1,SYNTHETIC,88.4,92.8
ST00008,Student ST00008,Mechanical,7,8.03,87.3,80.8,0,6.2,4.8,6.2,6.4,2.1,6.1,4.4,1.8,4,6,2,0,0,6.6,6.1,5.1,6.7,6.1,6.5,0,0,Full-Stack Developer,1,SYNTHETIC,94.7,72.6
ST00009,Student ST00009,CSE,7,7.46,71.1,72.3,0,8.6,8.0,7.6,6.8,4.0,5.6,5.2,2.3,0,1,2,0,2,5.0,6.0,7.2,5.3,6.7,7.1,1,0,Full-Stack Developer,1,SYNTHETIC,97.9,85.8
ST00010,Student ST00010,CSE,7,9.52,97.1,86.0,0,7.8,5.2,7.0,7.3,3.1,5.4,1.0,2.0,0,3,2,0,0,7.3,9.7,7.8,7.5,6.9,7.6,2,1,Full-Stack Developer,1,SYNTHETIC,84.3,82.5
